no.peserta,no.ujian,kode.prodi,nama.prodi,kode.formasi.awal,lokasi.formasi.awal,kode.formasi.akhir,lokasi.formasi.akhir,peringkat.cadangan,hasil.akhir
S2240160113107197,3107197,4412070,D3Statistika,40160005,ProvinsiRiau,40160005,ProvinsiRiau,11,Lulus
S2240160121403581,1403581,4412070,D3Statistika,40160005,ProvinsiRiau,40160005,ProvinsiRiau,25,TidakLulus
S2240160123308952,3308952,4412070,D3Statistika,40160035,ProvinsiBanten,40160005,ProvinsiRiau,3,TidakLulus
S2240160123403738,3403738,4412070,D3Statistika,40160033,ProvinsiDIYogyakarta,40160005,ProvinsiRiau,5,TidakLulus
S2240160121801631,1801631,4412070,D3Statistika,40160008,ProvinsiBengkulu,40160005,ProvinsiRiau,6,TidakLulus
S2240160113303478,3303478,4412070,D3Statistika,40160015,ProvinsiKalimantanTengah,40160005,ProvinsiRiau,8,TidakLulus
S2240160122100579,2100579,4412070,D3Statistika,40160011,ProvinsiKepualauanRiau,40160005,ProvinsiRiau,19,TidakLulus
S2240160125100651,5100651,4412070,D3Statistika,40160036,ProvinsiBali,40160005,ProvinsiRiau,21,TidakLulus
S2240160111102897,1102897,4412070,D3Statistika,40160002,ProvinsiAceh,40160005,ProvinsiRiau,22,TidakLulus
S2240160113403169,3403169,4412070,D3Statistika,40160018,ProvinsiKalimantanUtara,40160005,ProvinsiRiau,24,TidakLulus
S2240160121900996,1900996,4412070,D3Statistika,40160010,ProvinsiKepulauanBangkaBelitung,40160005,ProvinsiRiau,26,TidakLulus
S2240160116302294,6302294,4412070,D3Statistika,40160016,ProvinsiKalimantanSelatan,40160005,ProvinsiRiau,36,TidakLulus
S2240160121900329,1900329,4412070,D3Statistika,40160017,ProvinsiKalimantanTimur,40160005,ProvinsiRiau,40,TidakLulus
S2240160123107014,3107014,4412070,D3Statistika,40160019,ProvinsiSulawesiUtara,40160005,ProvinsiRiau,42,TidakLulus
S2240160121801570,1801570,4412070,D3Statistika,40160009,ProvinsiLampung,40160005,ProvinsiRiau,49,TidakLulus
S2240160121801853,1801853,4412070,D3Statistika,40160009,ProvinsiLampung,40160005,ProvinsiRiau,52,TidakLulus
S2240160125202537,5202537,4412070,D3Statistika,40160025,ProvinsiMaluku,40160025,ProvinsiMaluku,32,Lulus
S2240160128100393,8100393,4412070,D3Statistika,40160025,ProvinsiMaluku,40160025,ProvinsiMaluku,39,Lulus
S2240160116200624,6200624,4412070,D3Statistika,40160015,ProvinsiKalimantanTengah,40160025,ProvinsiMaluku,9,TidakLulus
S2240160127303191,7303191,4412070,D3Statistika,40160021,ProvinsiSulawesiSelatan,40160025,ProvinsiMaluku,23,TidakLulus
S2240160111104727,1104727,4412070,D3Statistika,40160002,ProvinsiAceh,40160025,ProvinsiMaluku,33,TidakLulus
S2240160127100844,7100844,4412070,D3Statistika,40160019,ProvinsiSulawesiUtara,40160025,ProvinsiMaluku,43,TidakLulus
